State,16/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021
Meghalaya,509,530,1037,1365,1785,2078,2236,2236,2748,2748,3249,3870,4200,4324,4324,4564,4694,4806,5469,6213,6859,6859,7662,9069,9760,11642,12797,14089,14089,16223,18226,21691,22281,22901,24506,24506,26958,29390,29448,30210,32191
Mizoram,314,554,1091,1508,2537,3657,3979,3979,4852,4852,6142,6728,8497,9346,9346,9932,9932,9995,10044,10555,10937,10937,10937,11046,11046,11046,11332,11568,11754,12557,12557,13561,15115,16634,16868,16868,18801,20805,23674,25831,27656
Nagaland,561,1436,2286,2988,3187,3443,3443,3443,3675,3675,3973,3973,3973,3993,3993,3998,4093,4244,4405,4515,4535,4535,4973,5826,7167,8371,9125,9684,9818,11942,16234,18252,21059,24022,25435,25435,27809,29804,32336,34116,35303
Odisha,13746,46506,55138,68743,113623,130007,152371,152371,177090,177090,178227,194058,205200,206424,206424,207462,208205,211346,234923,235680,275055,276323,315725,342254,361623,383023,399670,411939,412046,426790,428471,439390,482613,501713,533093,533093,566142,577646,584948,612802,618821
Puducherry,274,554,719,759,759,1097,1478,1478,1813,1813,1813,1813,2299,2736,2736,2988,3077,3222,3222,3532,3532,3532,3881,4301,4770,4780,5510,6024,6024,6513,6957,7354,8115,9126,10104,10104,10337,10450,10459,10479,11144
Punjab,1319,3318,5567,7607,12532,21340,30319,31327,39418,39418,44708,50977,54988,57499,57499,59285,61381,63663,67861,72855,76430,76430,82127,87181,91669,97668,101861,103858,103858,107854,111952,115282,121774,129470,136288,136796,148066,157585,166693,181892,190800
Rajasthan,9279,23546,30761,32379,32379,43947,67270,93525,161116,161332,237137,257833,324973,329611,330797,333930,339218,363521,384810,414422,459652,460994,487848,491543,559990,590990,606694,609568,610088,627710,637021,760075,762913,799719,821059,821059,844893,878043,931222,950386,1023207
Sikkim,120,120,350,573,773,960,960,960,1047,1047,1320,1776,2020,2020,2020,2166,2647,3425,4264,5139,5372,5372,6007,6961,7808,8316,8335,8335,8335,8543,9148,9760,10500,11800,12565,12565,14159,15694,16931,17858,18312
Tamil Nadu,2945,16462,25251,33670,42947,51651,59226,61720,69027,73953,82039,88467,97126,105821,105821,112687,120745,133434,145928,157324,166408,166408,175027,185577,197392,211762,227542,247574,247574,269219,290248,309377,329817,350283,370846,370846,385600,400400,414827,429255,445328
Telangana,3653,17408,69405,69405,97087,110031,110031,110031,130390,130425,130425,151246,166606,168606,168606,168771,170043,176732,188279,193667,209104,209104,229027,243665,258122,270615,278250,282188,282188,293442,332847,333235,353113,366328,368132,368132,387301,387549,389970,398078,419791
Tripura,355,1736,3734,3734,9272,14252,14252,14252,19698,19698,19698,24302,27617,29796,29796,31190,32196,32340,35191,37359,40347,40405,45674,51449,52908,59438,65288,69562,69562,75305,75415,77926,85796,92176,93956,93956,99320,102138,102752,108014,110978
Uttar Pradesh,21291,22644,22644,22644,22644,123761,123761,123761,123761,123761,123761,294959,463793,463793,463793,463793,463793,463793,589101,673542,673542,673542,673542,673542,673542,763421,858602,858602,858602,934962,934962,934962,1070895,1152042,1152042,1152042,1226775,1226775,1226775,1370739,1480983
Uttarakhand,2276,4237,6107,6119,8206,10514,10514,10514,14546,14546,14690,19517,25818,28791,31228,37505,43430,54153,62858,70292,73762,74607,79283,85359,90483,97618,104052,108974,110326,116702,121726,126719,130700,135452,138054,138550,143318,147300,151002,154994,161786
West Bengal,9730,29866,42093,46310,53988,84505,84505,84505,122851,122851,158193,187485,221994,243069,243143,266407,288245,301091,320668,344227,354000,354000,377608,404001,427042,453303,485054,515117,516952,555120,556450,573746,607535,650976,683057,689164,743590,801677,886491,993106,1106181
Miscellaneous,0,14017,14017,26940,32297,36926,40144,40284,43625,43675,46325,48401,50078,52120,52120,54019,55606,57212,58406,60507,62057,62057,63510,67238,74366,84999,99509,115272,116448,136322,165375,205300,249012,291760,338147,341572,392177,454293,508454,564478,625744
Total,191181,454049,630417,806484,1043534,1390592,1582201,1615504,2023809,2029480,2355979,2928053,3500027,3744334,3758843,3950156,4138918,4449552,4959445,5416849,5775322,5812362,6259008,6611561,7017114,7505010,7967647,8263858,8285295,8720822,8999230,9422228,10188007,10715204,11085173,11116854,11745552,12165598,12671163,13472643,14242547
